team,season,TR,Age,W,L,SRS,ORtg,rORtg,DRtg,rDRtg,NRtg,Pace,rPace,FTr,rFTr,TS%,rTS%
Boston Celtics,2024,14,28.2,64,18,10.8,123.2,8.6,111.6,-3,11.6,97.2,-1.9,0.224,-0.044,0.609,0.028
Minnesota Timberwolves,2024,9.3,27.2,56,26,6.4,115.6,1,109,-5.6,6.6,97.1,-2,0.27,0.002,0.594,0.013
Oklahoma City Thunder,2024,9.1,23.4,57,25,7.4,119.5,4.9,112.1,-2.5,7.4,99.8,0.7,0.24,-0.028,0.608,0.027
Dallas Mavericks,2024,7.8,26.5,50,32,2.3,117.6,3,115.4,0.8,2.2,100.1,1,0.251,-0.017,0.592,0.011
Indiana Pacers,2024,5.8,25.3,47,35,2.8,121,6.4,118,3.4,3,101.7,2.6,0.222,-0.046,0.606,0.025
Denver Nuggets,2024,5.2,27.1,57,25,5.2,118.5,3.9,113,-1.6,5.5,96.8,-2.3,0.224,-0.044,0.589,0.008
New York Knicks,2024,4.1,26.4,50,32,4.4,118.2,3.6,113.4,-1.2,4.8,95.2,-3.9,0.246,-0.022,0.574,-0.007
Golden State Warriors,2024,3,28.4,46,36,2.8,117.8,3.2,115.2,0.6,2.6,99.2,0.1,0.219,-0.049,0.586,0.005
Orlando Magic,2024,2.9,24,47,35,1.5,113.4,-1.2,111.3,-3.3,2.1,96.9,-2.2,0.287,0.019,0.577,-0.004
Philadelphia 76ers,2024,2.8,28.4,47,35,2.5,116.9,2.3,113.8,-0.8,3.1,97.5,-1.6,0.264,-0.004,0.574,-0.007
Sacramento Kings,2024,2.5,26.4,46,36,2.3,116.9,2.3,115.2,0.6,1.7,98.8,-0.3,0.229,-0.039,0.582,0.001
New Orleans Pelicans,2024,2,26,49,33,4.5,117.4,2.8,112.9,-1.7,4.5,97.9,-1.2,0.261,-0.007,0.591,0.01
Milwaukee Bucks,2024,1.7,30.2,49,33,2.4,118.4,3.8,115.8,1.2,2.6,99.9,0.8,0.27,0.002,0.601,0.02
Los Angeles Clippers,2024,1.3,30.4,51,31,3.4,118.8,4.2,115.4,0.8,3.4,97.2,-1.9,0.256,-0.012,0.599,0.018
Houston Rockets,2024,1.3,25.1,41,41,1.2,114.5,-0.1,113.4,-1.2,1.1,99,-0.1,0.257,-0.011,0.565,-0.016
Cleveland Cavaliers,2024,1.2,26.2,48,34,2,115.2,0.6,112.7,-1.9,2.5,97.2,-1.9,0.234,-0.034,0.586,0.005
Los Angeles Lakers,2024,0.9,28,47,35,1.1,115.9,1.3,115.3,0.7,0.6,100.9,1.8,0.276,0.008,0.601,0.02
Phoenix Suns,2024,0.8,29.3,49,33,3.1,117.6,3,114.6,0,3,98.3,-0.8,0.271,0.003,0.603,0.022
Miami Heat,2024,-1.4,28,46,36,1.1,114,-0.6,112.2,-2.4,1.8,96.2,-2.9,0.257,-0.011,0.578,-0.003
Chicago Bulls,2024,-1.8,28.1,39,43,-1.8,114.9,0.3,116.3,1.7,-1.4,96.3,-2.8,0.236,-0.032,0.568,-0.013
Atlanta Hawks,2024,-2.6,26.2,36,46,-2.4,117.2,2.6,119.4,4.8,-2.2,100.1,1,0.251,-0.017,0.576,-0.005
Brooklyn Nets,2024,-3.4,26.1,32,50,-3,113.2,-1.4,116.1,1.5,-2.9,96.9,-2.2,0.234,-0.034,0.561,-0.02
Utah Jazz,2024,-4.6,25.1,31,51,-4.2,115.5,0.9,120.4,5.8,-4.9,99.5,0.4,0.251,-0.017,0.579,-0.002
San Antonio Spurs,2024,-6.6,23,22,60,-5.8,110,-4.6,116.4,1.8,-6.4,101.1,2,0.22,-0.048,0.563,-0.018
Toronto Raptors,2024,-7.1,25.9,25,57,-6.5,112.3,-2.3,118.8,4.2,-6.5,99.4,0.3,0.241,-0.027,0.566,-0.015
Memphis Grizzlies,2024,-7.1,24.4,27,55,-6.6,107.2,-7.4,114.3,-0.3,-7.1,98.2,-0.9,0.238,-0.03,0.543,-0.038
Portland Trail Blazers,2024,-9.1,24.1,21,61,-8.3,108.3,-6.3,117.5,2.9,-9.2,97.2,-1.9,0.228,-0.04,0.539,-0.042
Detroit Pistons,2024,-10.2,23.8,14,68,-9.1,109.7,-4.9,118.8,4.2,-9.1,99.8,0.7,0.246,-0.022,0.562,-0.019
Washington Wizards,2024,-10.4,24.9,15,67,-9.3,110.5,-4.1,119.6,5,-9.1,102.7,3.6,0.221,-0.047,0.567,-0.014
Charlotte Hornets,2024,-10.9,25.1,21,61,-10.1,109.3,-5.3,119.8,5.2,-10.5,97.3,-1.8,0.212,-0.056,0.56,-0.021
Denver Nuggets,2023,9,26.6,53,29,3,117.6,2.8,114.2,-0.6,3.4,98.1,-1,0.259,-0.007,0.601,0.02
Boston Celtics,2023,7.7,27.4,57,25,6.4,118,3.2,111.5,-3.3,6.5,98.5,-0.6,0.243,-0.023,0.6,0.019
Philadelphia 76ers,2023,5,28.2,54,28,4.4,117.7,2.9,113.3,-1.5,4.4,96.9,-2.2,0.3,0.034,0.608,0.027
Miami Heat,2023,4.4,27.7,44,38,-0.1,113,-1.8,113.3,-1.5,-0.3,96.3,-2.8,0.27,0.004,0.574,-0.007
Los Angeles Lakers,2023,4,27.9,43,39,0.4,114.5,-0.3,113.9,-0.9,0.6,101.3,2.2,0.299,0.033,0.582,0.001
New York Knicks,2023,3.5,24.5,47,35,3,117.8,3,114.8,0,3,97.1,-2,0.285,0.019,0.577,-0.004
Cleveland Cavaliers,2023,2.7,25.4,51,31,5.2,116.1,1.3,110.6,-4.2,5.5,95.7,-3.4,0.264,-0.002,0.59,0.009
Golden State Warriors,2023,2.6,27.3,44,38,1.7,116.1,1.3,114.4,-0.4,1.7,101.6,2.5,0.224,-0.042,0.6,0.019
Sacramento Kings,2023,1.8,25.4,48,34,2.3,119.4,4.6,116.8,2,2.6,100.3,1.2,0.284,0.018,0.608,0.027
Phoenix Suns,2023,1.7,28.1,45,37,2.1,115.1,0.3,113,-1.8,2.1,98.2,-0.9,0.241,-0.025,0.57,-0.011
New Orleans Pelicans,2023,1.7,25.9,42,40,1.6,114.4,-0.4,112.5,-2.3,1.9,99.1,0,0.279,0.013,0.582,0.001
Toronto Raptors,2023,1.6,25.8,41,41,1.6,115.5,0.7,114,-0.8,1.5,97.1,-2,0.257,-0.009,0.555,-0.026
Chicago Bulls,2023,1.4,27.5,40,42,1.4,113.5,-1.3,112.2,-2.6,1.3,98.5,-0.6,0.251,-0.015,0.587,0.006
Milwaukee Bucks,2023,1.3,29.8,58,24,3.6,115.4,0.6,111.9,-2.9,3.5,100.5,1.4,0.248,-0.018,0.583,0.002
Memphis Grizzlies,2023,1,24.4,51,31,3.6,115.1,0.3,111.2,-3.6,3.9,101.1,2,0.259,-0.007,0.57,-0.011
Oklahoma City Thunder,2023,0.9,22.8,40,42,1,115.2,0.4,114.2,-0.6,1,101.1,2,0.256,-0.01,0.57,-0.011
Atlanta Hawks,2023,0.1,24.9,41,41,0.3,116.6,1.8,116.3,1.5,0.3,100.7,1.6,0.244,-0.022,0.579,-0.002
Dallas Mavericks,2023,-0.2,27.8,38,44,-0.1,116.8,2,116.7,1.9,0.1,96.6,-2.5,0.298,0.032,0.599,0.018
Brooklyn Nets,2023,-0.7,28,45,37,1,115,0.2,114.1,-0.7,0.9,98.3,-0.8,0.26,-0.006,0.598,0.017
Utah Jazz,2023,-1.2,26.5,37,45,-1,115.8,1,116.7,1.9,-0.9,100.5,1.4,0.265,-0.001,0.584,0.003
Washington Wizards,2023,-1.3,26.2,35,47,-1.1,114.4,-0.4,115.6,0.8,-1.2,98.6,-0.5,0.258,-0.008,0.585,0.004
Los Angeles Clippers,2023,-1.6,29.7,44,38,0.3,115,0.2,114.5,-0.3,0.5,98,-1.1,0.278,0.012,0.588,0.007
Minnesota Timberwolves,2023,-2.5,25.8,42,40,-0.2,113.7,-1.1,113.8,-1,-0.1,101,1.9,0.271,0.005,0.592,0.011
Orlando Magic,2023,-2.7,23.1,34,48,-2.4,111.6,-3.2,114.2,-0.6,-2.6,99.3,0.2,0.29,0.024,0.573,-0.008
Indiana Pacers,2023,-3.1,24.5,35,47,-2.9,114.6,-0.2,117.7,2.9,-3.1,101.1,2,0.265,-0.001,0.581,0
Portland Trail Blazers,2023,-4.3,25.1,33,49,-4,114.8,0,118.8,4,-4,98.6,-0.5,0.289,0.023,0.589,0.008
Charlotte Hornets,2023,-6.5,25.3,27,55,-5.9,109.2,-5.6,115.3,0.5,-6.1,100.8,1.7,0.261,-0.005,0.55,-0.031
Houston Rockets,2023,-8.4,22.1,22,60,-7.6,111.4,-3.4,119.3,4.5,-7.9,99,-0.1,0.285,0.019,0.554,-0.027
Detroit Pistons,2023,-8.7,24.1,17,65,-7.7,110.7,-4.1,118.9,4.1,-8.2,99,-0.1,0.295,0.029,0.561,-0.02
San Antonio Spurs,2023,-10.6,23.9,22,60,-9.8,110.2,-4.6,120,5.2,-9.8,101.6,2.5,0.229,-0.037,0.554,-0.027
Golden State Warriors,2022,10.1,27.6,53,29,5.5,112.5,0.5,106.9,-5.1,5.6,98.4,0.2,0.235,-0.013,0.582,0.016
Boston Celtics,2022,9,26.1,51,31,7,114.4,2.4,106.9,-5.1,7.5,96.6,-1.6,0.239,-0.009,0.578,0.012
Miami Heat,2022,8.2,28.2,53,29,4.2,113.7,1.7,109.1,-2.9,4.6,95.9,-2.3,0.252,0.004,0.584,0.018
Dallas Mavericks,2022,6.6,26.7,52,30,3.1,112.8,0.8,109.4,-2.6,3.4,95.4,-2.8,0.249,0.001,0.572,0.006
Memphis Grizzlies,2022,6.5,24,56,26,5.4,114.6,2.6,109,-3,5.6,100.3,2.1,0.245,-0.003,0.553,-0.013
Phoenix Suns,2022,5.7,27.5,64,18,6.9,114.8,2.8,107.3,-4.7,7.5,99.8,1.6,0.221,-0.027,0.581,0.015
Milwaukee Bucks,2022,4.9,28.5,51,31,3.2,115.1,3.1,111.8,-0.2,3.3,99.9,1.7,0.257,0.009,0.58,0.014
Philadelphia 76ers,2022,3.5,26.8,51,31,2.6,113.5,1.5,110.8,-1.2,2.7,96.2,-2,0.282,0.034,0.578,0.012
Utah Jazz,2022,3.4,29.3,49,33,5.7,116.7,4.7,110.5,-1.5,6.2,97.1,-1.1,0.271,0.023,0.589,0.023
Cleveland Cavaliers,2022,2.2,24.7,44,38,2,111.9,-0.1,109.7,-2.3,2.2,96.1,-2.1,0.261,0.013,0.571,0.005
Minnesota Timberwolves,2022,1.7,24.2,46,36,2.5,114.3,2.3,111.7,-0.3,2.6,100.9,2.7,0.254,0.006,0.573,0.007
Brooklyn Nets,2022,1.2,29.1,44,38,0.8,113.6,1.6,112.8,0.8,0.8,99,0.8,0.246,-0.002,0.576,0.01
Charlotte Hornets,2022,0.6,25.5,43,39,0.5,114.1,2.1,113.7,1.7,0.4,100,1.8,0.234,-0.014,0.572,0.006
Denver Nuggets,2022,0.4,27.7,48,34,2.2,114.5,2.5,112.1,0.1,2.4,97.8,-0.4,0.244,-0.004,0.59,0.024
Los Angeles Clippers,2022,0.2,27.5,42,40,0.1,110.1,-1.9,110.1,-1.9,0,98,-0.2,0.224,-0.024,0.564,-0.002
New Orleans Pelicans,2022,0.1,25.6,36,46,-0.8,112,0,113,1,-1,97.2,-1,0.264,0.016,0.557,-0.009
Toronto Raptors,2022,0.1,24.8,48,34,2.4,112.9,0.9,110.5,-1.5,2.4,96,-2.2,0.234,-0.014,0.543,-0.023
New York Knicks,2022,-0.2,26,37,45,0,110.4,-1.6,110.5,-1.5,-0.1,95.9,-2.3,0.28,0.032,0.55,-0.016
San Antonio Spurs,2022,-0.2,24.5,34,48,0,112.4,0.4,112.3,0.3,0.1,100,1.8,0.22,-0.028,0.556,-0.01
Atlanta Hawks,2022,-1.7,26.1,43,39,1.6,116.5,4.5,114.9,2.9,1.6,97.7,-0.5,0.253,0.005,0.581,0.015
Los Angeles Lakers,2022,-3.4,30.2,33,49,-3.1,110.3,-1.7,113.3,1.3,-3,100.1,1.9,0.259,0.011,0.567,0.001
Washington Wizards,2022,-3.5,25.9,35,47,-3.2,111.1,-0.9,114.5,2.5,-3.4,97,-1.2,0.252,0.004,0.568,0.002
Chicago Bulls,2022,-3.8,26.3,46,36,-0.4,113.2,1.2,113.6,1.6,-0.4,98.3,0.1,0.248,0,0.579,0.013
Indiana Pacers,2022,-3.9,26,25,57,-3.3,112.6,0.6,116.1,4.1,-3.5,98,-0.2,0.239,-0.009,0.564,-0.002
Sacramento Kings,2022,-5.7,25.8,30,52,-5.3,109.9,-2.1,115.3,3.3,-5.4,99.8,1.6,0.264,0.016,0.561,-0.005
Detroit Pistons,2022,-8.1,23.6,23,59,-7.4,106,-6,113.8,1.8,-7.8,98.4,0.2,0.249,0.001,0.533,-0.033
Orlando Magic,2022,-8.5,23.3,22,60,-7.7,104.5,-7.5,112.5,0.5,-8,99.2,1,0.223,-0.025,0.538,-0.028
Oklahoma City Thunder,2022,-8.6,22.4,24,58,-7.9,104.6,-7.4,112.8,0.8,-8.2,98.5,0.3,0.223,-0.025,0.53,-0.036
Houston Rockets,2022,-9.1,24.1,20,62,-8.3,108.4,-3.6,116.7,4.7,-8.3,100.9,2.7,0.284,0.036,0.565,-0.001
Portland Trail Blazers,2022,-9.1,25.6,27,55,-8.6,107.8,-4.2,116.9,4.9,-9.1,98.3,0.1,0.248,0,0.55,-0.016
Phoenix Suns,2021,9.9,26.6,51,21,5.7,117.2,4.9,111.3,-1,5.9,97.2,-2,0.212,-0.035,0.597,0.025
Los Angeles Clippers,2021,9.6,28.8,47,25,6,117.6,5.3,111.2,-1.1,6.4,96.9,-2.3,0.222,-0.025,0.599,0.027
Milwaukee Bucks,2021,9.4,28.1,46,26,5.6,117.2,4.9,111.4,-0.9,5.8,102.2,3,0.233,-0.014,0.593,0.021
Utah Jazz,2021,8,28.5,52,20,9,117.6,5.3,108.3,-4,9.3,98.5,-0.7,0.244,-0.003,0.597,0.025
Brooklyn Nets,2021,7.3,28.2,48,24,4.2,118.3,6,113.8,1.5,4.5,99.5,0.3,0.258,0.011,0.61,0.038
Philadelphia 76ers,2021,7.2,27.1,49,23,5.3,113.2,0.9,107.6,-4.7,5.6,99.5,0.3,0.293,0.046,0.579,0.007
Atlanta Hawks,2021,4.2,25.4,41,31,2.1,115.7,3.4,113.3,1,2.4,97.6,-1.6,0.278,0.031,0.581,0.009
Denver Nuggets,2021,3.3,26.1,47,25,4.8,117.1,4.8,112.1,-0.2,5,97.1,-2.1,0.219,-0.028,0.588,0.016
Portland Trail Blazers,2021,2.1,27.4,42,30,1.8,117.8,5.5,116,3.7,1.8,98.4,-0.8,0.238,-0.009,0.577,0.005
Dallas Mavericks,2021,2,26.3,42,30,2.3,115.4,3.1,113,0.7,2.4,97.3,-1.9,0.242,-0.005,0.582,0.01
Los Angeles Lakers,2021,1.6,28.2,42,30,2.8,109.9,-2.4,107.1,-5.2,2.8,98.7,-0.5,0.271,0.024,0.569,-0.003
Golden State Warriors,2021,1.3,26.7,39,33,1.1,111.1,-1.2,110.1,-2.2,1,102.2,3,0.239,-0.008,0.583,0.011
Memphis Grizzlies,2021,0.2,24.2,38,34,1.1,112,-0.3,111,-1.3,1,100.4,1.2,0.232,-0.015,0.56,-0.012
Indiana Pacers,2021,-0.2,26.5,34,38,-0.1,112.4,0.1,112.4,0.1,0,101.6,2.4,0.227,-0.02,0.575,0.003
New Orleans Pelicans,2021,-0.4,24.8,31,41,-0.2,113.5,1.2,113.8,1.5,-0.3,100.1,0.9,0.293,0.046,0.57,-0.002
New York Knicks,2021,-0.4,25.6,41,31,2.1,110.6,-1.7,108.2,-4.1,2.4,95.9,-3.3,0.242,-0.005,0.559,-0.013
Toronto Raptors,2021,-0.9,26.6,27,45,-0.5,112,-0.3,112.5,0.2,-0.5,99.2,0,0.241,-0.006,0.567,-0.005
Chicago Bulls,2021,-1.2,25.6,31,41,-0.9,111.1,-1.2,112,-0.3,-0.9,99,-0.2,0.197,-0.05,0.575,0.003
Boston Celtics,2021,-1.7,25.1,36,36,1.3,114,1.7,112.5,0.2,1.5,98.3,-0.9,0.234,-0.013,0.574,0.002
San Antonio Spurs,2021,-1.7,26.2,33,39,-1.6,111,-1.3,112.8,0.5,-1.8,98.9,-0.3,0.243,-0.004,0.554,-0.018
Charlotte Hornets,2021,-2.1,24.6,33,39,-1.9,110.9,-1.4,112.8,0.5,-1.9,98.3,-0.9,0.238,-0.009,0.564,-0.008
Miami Heat,2021,-2.9,27.4,40,32,-0.1,111.2,-1.1,111.2,-1.1,0,96.6,-2.6,0.252,0.005,0.581,0.009
Sacramento Kings,2021,-3.7,25.6,31,41,-3.5,113.6,1.3,117.2,4.9,-3.6,100,0.8,0.248,0.001,0.578,0.006
Washington Wizards,2021,-4.4,26.6,34,38,-1.9,111.2,-1.1,113,0.7,-1.8,104.1,4.9,0.288,0.041,0.569,-0.003
Detroit Pistons,2021,-5.1,24.5,20,52,-4.4,108,-4.3,112.5,0.2,-4.5,97.9,-1.3,0.273,0.026,0.556,-0.016
Minnesota Timberwolves,2021,-5.9,23.2,23,49,-5.3,109.5,-2.8,115,2.7,-5.5,101.6,2.4,0.254,0.007,0.555,-0.017
Houston Rockets,2021,-8.4,26.5,17,55,-7.5,107.1,-5.2,114.9,2.6,-7.8,101.4,2.2,0.252,0.005,0.553,-0.019
Cleveland Cavaliers,2021,-8.8,24,22,50,-8.2,105.8,-6.5,114.4,2.1,-8.6,97.3,-1.9,0.261,0.014,0.543,-0.029
Orlando Magic,2021,-9.7,25.6,21,51,-9,105.1,-7.2,114.5,2.2,-9.4,98.7,-0.5,0.24,-0.007,0.527,-0.045
Oklahoma City Thunder,2021,-10.8,22.8,22,50,-10.1,103.5,-8.8,114,1.7,-10.5,101,1.8,0.242,-0.005,0.539,-0.033
Los Angeles Lakers,2020,10.5,29.5,52,19,6.3,112,1.4,106.3,-4.3,5.7,100.9,0.6,0.276,0.016,0.573,0.008
Boston Celtics,2020,9.4,25.3,48,24,5.8,113.3,2.7,107,-3.6,6.3,99.5,-0.8,0.259,-0.001,0.57,0.005
Los Angeles Clippers,2020,9.1,27.4,49,23,6.7,113.9,3.3,107.6,-3,6.3,101.5,1.2,0.295,0.035,0.577,0.012
Milwaukee Bucks,2020,8.6,29.2,56,17,9.4,112.4,1.8,102.9,-7.7,9.5,105.1,4.8,0.271,0.011,0.583,0.018
Toronto Raptors,2020,7.9,26.6,53,19,6,111.1,0.5,105,-5.6,6.1,100.9,0.6,0.264,0.004,0.574,0.009
Miami Heat,2020,7.4,25.9,44,29,2.6,112.5,1.9,109.5,-1.1,3,98.3,-2,0.299,0.039,0.587,0.022
Denver Nuggets,2020,3.9,25.6,46,27,2.4,113.1,2.5,111,0.4,2.1,97.1,-3.2,0.235,-0.025,0.567,0.002
Houston Rockets,2020,3.9,29.2,44,28,3.1,112.9,2.3,110.1,-0.5,2.8,103.7,3.4,0.288,0.028,0.578,0.013
Utah Jazz,2020,3.7,27.3,44,28,2.5,112.3,1.7,109.9,-0.7,2.4,98.6,-1.7,0.268,0.008,0.585,0.02
Dallas Mavericks,2020,2.8,26.1,43,32,4.9,116.7,6.1,111.7,1.1,5,99.3,-1,0.264,0.004,0.581,0.016
Oklahoma City Thunder,2020,1.2,25.5,44,28,2.3,110.8,0.2,108.8,-1.8,2,98.8,-1.5,0.29,0.03,0.573,0.008
Philadelphia 76ers,2020,0.7,26.3,43,30,2.3,111.3,0.7,109,-1.6,2.3,99,-1.3,0.255,-0.005,0.566,0.001
Phoenix Suns,2020,0.5,24.6,34,39,0.6,111.7,1.1,111.4,0.8,0.3,101.3,1,0.271,0.011,0.576,0.011
Indiana Pacers,2020,0,25.6,45,28,1.6,110,-0.6,108,-2.6,2,98.9,-1.4,0.216,-0.044,0.565,0
New Orleans Pelicans,2020,-0.8,25.4,30,42,-0.6,110.7,0.1,111.9,1.3,-1.2,103.7,3.4,0.256,-0.004,0.568,0.003
